"filename", "language", "Docker", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "CSS", "HTML", "comment", "blank", "total"
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -85, 0, 0, -4, -11, -100
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -39, 0, 0, 0, -5, -44
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -61, 0, 0, 0, -6, -67
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -97, 0, 0, 0, -16, -113
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -47, 0, 0, 0, -6, -53
"l:\Office\CLPM\clpm-app-latest\frontend\src\contexts\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -131, 0, 0, -8, -19, -158
"l:\Office\CLPM\clpm-app-latest\frontend\src\hooks\useOPCUA.ts", "TypeScript", 0, 0, 0, 0, -350, 0, 0, 0, -13, -44, -407
"l:\Office\CLPM\clpm-app-latest\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, -56, 0, 0, -4, -60
"l:\Office\CLPM\clpm-app-latest\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -9, 0, 0, 0, -2, -11
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\APCAttainment.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -302, 0, 0, -6, -22, -330
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -746, 0, 0, -16, -40, -802
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -138, 0, 0, 0, -8, -146
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\LoopConfig.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -377, 0, 0, -7, -36, -420
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\LoopConfiguration.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -767, 0, 0, -13, -36, -816
